beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
1.15,-0.16,1.631B,"Badger Meter, Inc.",55.40,58.95,-0.28%,56.00,BMI,"205,034","131,117"
1.18,+0.05,74.246M,"Aviat Networks, Inc.",N/A,,+0.36%,13.80,AVNW,"6,522","10,685"
-0.12,+0.10,78.453M,"Richardson Electronics, Ltd.",N/A,101.86,+1.61%,6.01,RELL,"68,469","33,093"
0.37,+0.17,92.195M,"PCTEL, Inc.",4.75,,+3.35%,5.24,PCTI,"43,562","39,838"
1.92,-0.07,94.329M,"Amtech Systems, Inc.",6.25,,-1.04%,6.63,ASYS,"57,253","74,020"
1.03,-0.32,163.149M,Travelzoo,10.00,37.16,-2.27%,13.75,TZOO,"52,863","97,664"
1.65,+0.01,165.705M,TESSCO Technologies Incorporated,20.00,27.19,+0.05%,19.58,TESS,"15,806","37,329"
1.17,+0.10,177.263M,"KVH Industries, Inc.",15.50,,+1.01%,9.99,KVHI,"13,065","32,954"
2.02,+0.11,178.116M,"GSI Technology, Inc.",8.00,336.67,+1.38%,8.08,GSIT,"19,021","41,869"
1.97,+0.01,198.413M,"RigNet, Inc.",18.00,,+0.10%,10.19,RNET,"23,090","40,427"
0.07,-0.20,217.516M,"Synchronoss Technologies, Inc.",7.00,,-3.55%,5.44,SNCR,"462,712","286,161"
1.67,-0.32,222.958M,Leaf Group Ltd.,13.00,,-3.54%,8.73,LEAF,"25,182","37,209"
0.12,-0.31,242.935M,"Amber Road, Inc.",14.00,,-3.50%,8.55,AMBR,"53,039","88,453"
0.86,-0.19,272.217M,"Hurco Companies, Inc.",38.00,10.92,-0.47%,40.28,HURC,"11,684","23,482"
0.59,+0.20,272.636M,Allot Ltd.,9.00,,+2.56%,8.01,ALLT,"50,272","173,975"
0.94,-0.29,277.343M,"Telenav, Inc.",9.83,,-4.55%,6.09,TNAV,"251,124","197,827"
1.08,-0.02,283.862M,Immersion Corporation,10.75,5.32,-0.22%,9.20,IMMR,"141,204","297,041"
1.81,+0.13,285.004M,MagnaChip Semiconductor Corporation,10.10,,+1.58%,8.36,MX,"240,531","303,450"
1.45,+0.26,287.894M,Preformed Line Products Company,N/A,10.92,+0.46%,56.87,PLPC,"7,174","14,096"
0.95,+0.63,291.283M,Silicom Ltd.,50.00,20.19,+1.66%,38.61,SILC,"33,585","30,506"
2.30,-1.29,301.344M,Bel Fuse Inc.,N/A,12.69,-5.61%,21.70,BELFA,450,606
N/A,-0.27,306.737M,Hamilton Beach Brands Holding Company,20.00,13.94,-1.20%,22.16,HBB,"19,896","37,574"
2.40,+0.15,307.54M,"Telaria, Inc.",7.56,,+2.27%,6.75,TLRA,"280,686","779,585"
1.74,+0.05,307.701M,Bel Fuse Inc.,30.00,15.04,+0.19%,25.72,BELFB,"9,131","25,225"
1.21,-0.01,312.452M,NeoPhotonics Corporation,10.22,,-0.15%,6.73,NPTN,"381,110","760,756"
1.21,-0.25,313.362M,Alpha and Omega Semiconductor Limited,14.00,88.45,-1.87%,13.09,AOSL,"44,917","91,051"
1.70,-0.12,314.288M,"the Rubicon Project, Inc.",7.50,,-1.93%,6.09,RUBI,"737,935","686,282"
0.25,+0.09,317.43M,Brightcove Inc.,12.25,,+1.08%,8.39,BCOV,"68,437","114,775"
-0.06,-0.06,317.725M,ChannelAdvisor Corporation,16.00,,-0.52%,11.43,ECOM,"64,376","102,300"
1.93,-0.42,325.087M,"Avid Technology, Inc.",5.33,,-5.15%,7.74,AVID,"647,833","382,227"
2.58,-0.12,327.791M,Digimarc Corporation,37.25,,-0.44%,28.00,DMRC,"93,969","92,001"
1.31,-0.05,329.337M,Park Electrochemical Corp.,26.00,11.95,-0.31%,16.24,PKE,"54,645","165,637"
0.89,+0.18,336.219M,"DSP Group, Inc.",15.40,,+1.23%,14.86,DSPG,"37,823","110,340"
N/A,-0.24,336.618M,Aquantia Corp.,12.33,,-2.45%,9.57,AQ,"110,513","319,141"
0.90,+0.01,340.745M,"Daktronics, Inc.",9.50,57.79,+0.13%,7.57,DAKT,"69,826","132,095"
1.84,-0.10,345.938M,Digi International Inc.,17.29,32.72,-0.79%,12.50,DGII,"66,690","187,929"
-0.18,-0.19,358M,PAR Technology Corporation,31.00,,-0.85%,22.04,PAR,"124,162","157,187"
0.37,+0.15,368.124M,MiX Telematics Limited,27.21,26.21,+0.92%,16.38,MIXT,"84,072","89,161"
0.92,-0.15,370.48M,"Calix, Inc.",11.00,,-2.15%,6.84,CALX,"412,103","440,185"
1.53,+0.01,390.805M,The KeyW Holding Corporation,10.00,,+0.13%,7.86,KEYW,"200,612","293,517"
0.64,-0.03,396.53M,"American Software, Inc.",11.50,63.38,-0.23%,12.74,AMSWA,"55,077","78,050"
0.70,-0.32,397.044M,Zix Corporation,11.00,25.76,-4.11%,7.47,ZIXI,"689,948","614,764"
0.71,+0.26,406.514M,"Computer Programs and Systems, Inc.",32.88,23.35,+0.89%,29.33,CPSI,"83,921","138,404"
1.03,-0.29,409.751M,"Kimball Electronics, Inc.",17.00,14.89,-1.78%,16.04,KE,"25,730","74,433"
1.98,-0.08,417.265M,CalAmp Corp.,17.78,197.35,-0.59%,13.42,CAMP,"134,891","249,353"
2.25,+0.05,426.015M,"Impinj, Inc.",26.00,,+0.25%,19.82,PI,"226,539","206,788"
1.32,-0.30,430.263M,"PDF Solutions, Inc.",13.75,,-2.22%,13.20,PDFS,"193,387","128,525"
1.34,-0.41,436.841M,"Agilysys, Inc.",25.50,,-2.12%,18.95,AGYS,"96,083","96,572"
0.93,0.00,449.797M,Magic Software Enterprises Ltd.,10.50,23.59,0.00%,9.20,MGIC,"11,788","27,698"
2.09,-0.05,456.628M,"Sierra Wireless, Inc.",15.14,,-0.39%,12.64,SWIR,"153,801","343,127"
1.08,+0.48,461.644M,AudioCodes Ltd.,16.00,35.60,+3.09%,16.02,AUDC,"185,166","242,422"
2.10,+0.03,461.8M,Control4 Corporation,27.44,10.84,+0.17%,17.35,CTRL,"122,068","378,080"
2.83,-0.17,479.82M,Daqo New Energy Corp.,51.67,12.60,-0.45%,37.30,DQ,"220,733","360,664"
1.68,-0.12,483.407M,"Ultra Clean Holdings, Inc.",15.40,13.15,-0.96%,12.36,UCTT,"255,681","583,851"
0.25,+0.15,485.581M,Gilat Satellite Networks Ltd.,5.50,26.64,+1.74%,8.79,GILT,"12,781","21,027"
1.15,-0.29,495.778M,"Care.com, Inc.",26.33,11.94,-1.85%,15.40,CRCM,"336,873","386,625"
1.13,-0.16,504.118M,"Vishay Precision Group, Inc.",50.50,21.36,-0.43%,37.31,VPG,"23,228","45,530"
0.80,-0.02,501.921M,Harmonic Inc.,5.88,,-0.35%,5.66,HLIT,"211,337","381,917"
N/A,+0.37,509.903M,"SMART Global Holdings, Inc.",38.50,4.92,+1.69%,22.24,SGH,"401,646","611,624"
1.93,-0.70,511.966M,"CEVA, Inc.",35.50,896.15,-2.92%,23.30,CEVA,"328,380","131,240"
0.81,-0.02,515.599M,"A10 Networks, Inc.",9.00,,-0.29%,6.87,ATEN,"182,376","379,027"
1.68,-0.23,521.728M,Universal Electronics Inc.,45.00,44.34,-0.61%,37.69,UEIC,"101,436","145,195"
-0.04,+0.22,549.528M,Rosetta Stone Inc.,26.00,,+0.93%,23.76,RST,"125,782","208,229"
1.64,-0.06,560.584M,Unisys Corporation,16.00,8.36,-0.55%,10.83,UIS,"736,962","592,856"
0.37,-0.02,561.772M,"Model N, Inc.",22.88,,-0.11%,17.81,MODN,"105,906","171,767"
2.86,+0.16,566.187M,"Ichor Holdings, Ltd.",26.43,11.00,+0.64%,25.31,ICHR,"259,217","375,430"
0.67,-0.10,570.578M,Comtech Telecommunications Corp.,33.20,21.13,-0.42%,23.65,CMTL,"66,847","189,729"
1.03,+1.37,11.578B,PTC Inc.,104.56,194.81,+1.42%,97.60,PTC,1.008M,1.177M
1.35,+1.42,11.83B,"Ubiquiti Networks, Inc.",91.67,37.07,+0.85%,167.75,UBNT,"335,268","370,467"
1.11,-0.86,12.13B,Yandex N.V.,43.42,8.62,-2.25%,37.34,YNDX,3.345M,2.813M
0.18,-0.69,12.345B,"Akamai Technologies, Inc.",79.50,42.81,-0.91%,75.34,AKAM,"900,929",1.233M
0.79,-0.09,13.187B,"Citrix Systems, Inc.",112.07,25.41,-0.09%,100.11,CTXS,2.224M,2.323M
0.89,+1.12,13.408B,Autohome Inc.,97.66,34.34,+1.00%,113.26,ATHM,"745,408",1.029M
0.49,+0.77,14.012B,GoDaddy Inc.,87.43,173.93,+0.99%,78.27,GDDY,1.101M,1.58M
1.98,+0.21,14.102B,Seagate Technology plc,44.79,8.78,+0.42%,50.50,STX,1.736M,3.408M
1.65,+0.63,14.103B,"Gartner, Inc.",146.40,118.20,+0.40%,157.20,IT,"339,650","533,190"
1.33,-0.95,15.093B,Twilio Inc.,130.45,,-0.77%,122.13,TWLO,3.679M,4.127M
1.17,-0.08,15.417B,Snap Inc.,9.81,,-0.68%,11.67,SNAP,24.155M,28.099M
1.16,+0.20,15.419B,CDW Corporation,104.33,25.15,+0.19%,105.39,CDW,"504,702","801,133"
1.05,-1.29,15.541B,"Fortinet, Inc.",88.22,47.69,-1.40%,91.08,FTNT,2.209M,1.876M
0.68,-1.18,15.57B,"Skyworks Solutions, Inc.",92.58,14.41,-1.29%,90.00,SWKS,1.531M,1.863M
0.96,-0.07,15.597B,Symantec Corporation,23.63,,-0.29%,24.40,SYMC,4.093M,5.172M
1.64,-0.50,15.65B,"ANSYS, Inc.",193.33,38.24,-0.27%,186.59,ANSS,"289,496","401,608"
1.38,+0.35,15.923B,Weibo Corporation,71.86,28.37,+0.49%,71.50,WB,"908,537",2.339M
1.72,+0.94,16.11B,Western Digital Corporation,58.52,20.26,+1.73%,55.39,WDC,5.652M,7.16M
1.46,+0.24,16.224B,"SS&C Technologies Holdings, Inc.",69.79,151.80,+0.38%,64.21,SSNC,1.359M,1.668M
1.30,+0.20,16.341B,"Maxim Integrated Products, Inc.",55.06,23.59,+0.34%,59.77,MXIM,"799,431",1.981M
1.32,-0.02,16.379B,Marvell Technology Group Ltd.,23.41,,-0.08%,24.85,MRVL,14.937M,13.139M
1.24,+0.34,16.394B,Garmin Ltd.,76.00,23.64,+0.39%,86.53,GRMN,"891,627",1.238M
0.40,+0.50,16.456B,"Match Group, Inc.",58.24,36.73,+0.85%,59.10,MTCH,"912,251",1.732M
N/A,+0.30,16.819B,"iQIYI, Inc.",27.12,21.88,+1.29%,23.19,IQ,5.118M,10.504M
1.14,+1.54,16.889B,"Keysight Technologies, Inc.",95.00,93.49,+1.74%,89.84,KEYS,1.29M,1.803M
1.70,-0.62,17.325B,DXC Technology Company,85.82,11.98,-0.95%,64.58,DXC,1.344M,1.98M
1.35,-0.06,17.359B,"Synopsys, Inc.",123.74,30.32,-0.05%,115.98,SNPS,1.044M,1.166M
1.14,-0.60,17.819B,"Cadence Design Systems, Inc.",59.16,51.52,-0.94%,63.37,CDNS,3.022M,2.013M
0.91,+2.97,18.438B,IAC/InterActiveCorp,259.82,33.39,+1.37%,220.02,IAC,"612,563","728,191"
1.66,-0.99,18.718B,Veeva Systems Inc.,129.19,86.96,-0.77%,127.83,VEEV,1.416M,1.298M
0.70,-9.54,18.744B,Check Point Software Technologies Ltd.,121.33,23.30,-7.37%,119.99,CHKP,5.043M,"948,116"
1.32,+0.02,19.187B,"NetApp, Inc.",79.26,20.57,+0.03%,77.69,NTAP,1.345M,2.782M
1.66,-0.83,19.221B,Splunk Inc.,152.03,,-0.64%,128.08,SPLK,1.155M,1.68M
0.65,+0.38,19.383B,CGI Inc.,58.67,23.89,+0.54%,70.93,GIB,"132,688","166,835"
1.30,-0.51,19.519B,Harris Corporation,184.27,23.14,-0.31%,165.65,HRS,"456,546","911,724"
N/A,-1.15,19.697B,"Lyft, Inc.",74.00,,-1.93%,58.36,LYFT,6.729M,19.595M
1.39,+0.48,20.327B,KLA-Tencor Corporation,126.33,13.60,+0.39%,124.20,KLAC,"787,217",1.612M
0.95,+0.31,20.341B,Cerner Corporation,66.89,33.18,+0.50%,62.71,CERN,2.422M,2.596M
0.87,+0.35,22.288B,"VeriSign, Inc.",202.50,39.29,+0.19%,186.65,VRSN,"401,388","597,669"
0.64,-3.97,22.481B,"Palo Alto Networks, Inc.",279.57,,-1.66%,235.46,PANW,1.038M,1.365M
1.19,+0.09,22.831B,Hewlett Packard Enterprise Company,17.41,38.21,+0.54%,16.66,HPE,8.838M,11.179M
1.32,-0.56,23.391B,Microchip Technology Incorporated,99.81,74.95,-0.56%,98.71,MCHP,2.043M,2.815M
0.91,-0.26,23.573B,"Motorola Solutions, Inc.",149.30,25.51,-0.18%,143.36,MSI,"591,867","968,877"
1.63,-9.25,24.415B,Atlassian Corporation Plc,116.53,,-8.32%,101.94,TEAM,7.539M,1.613M
1.79,-4.66,24.49B,"Arista Networks, Inc.",306.12,79.73,-1.42%,323.38,ANET,"672,650","860,593"
1.71,+3.67,24.605B,Shopify Inc.,188.80,,+1.69%,220.72,SHOP,1.276M,1.434M
N/A,+1.96,25.231B,Spotify Technology S.A.,163.68,,+1.42%,139.65,SPOT,1.091M,1.648M
-0.17,-0.08,26.339B,"Twitter, Inc.",33.56,22.05,-0.23%,34.40,TWTR,9.522M,17.462M
1.23,-0.06,27.365B,Corning Incorporated,36.39,30.76,-0.17%,34.85,GLW,2.703M,4.245M
1.48,+1.19,27.904B,Electronic Arts Inc.,102.48,20.28,+1.29%,93.14,EA,4.262M,7.55M
1.20,+2.38,29.341B,Fortive Corporation,N/A,133.00,+0.22%,"1,091.97",FTV-PA,"4,779","9,215"
1.19,-0.58,29.452B,NXP Semiconductors N.V.,103.16,14.97,-0.57%,100.59,NXPI,2.495M,3.779M
1.20,+0.89,29.652B,Fortive Corporation,83.77,10.78,+1.02%,88.50,FTV,1.253M,1.47M
3.19,-2.02,29.689B,"Square, Inc.",83.33,,-2.78%,70.74,SQ,11.449M,11.738M
1.41,-1.52,29.721B,Lam Research Corporation,200.47,11.46,-0.77%,194.77,LRCX,1.41M,2.531M
N/A,-0.35,29.798B,Tencent Music Entertainment Group,18.20,56.23,-1.88%,18.22,TME,3.392M,5.934M
4.05,+0.19,29.938B,"Advanced Micro Devices, Inc.",25.29,86.50,+0.69%,27.68,AMD,39.137M,77.336M
0.98,+0.41,30.25B,TE Connectivity Ltd.,90.21,10.90,+0.46%,89.43,TEL,"775,506",1.598M
0.90,+0.57,31.171B,Amphenol Corporation,105.00,27.16,+0.55%,104.57,APH,"923,365",1.131M
1.20,+0.02,31.467B,HP Inc.,23.79,7.88,+0.10%,20.52,HPQ,7.301M,12.272M
-0.29,-0.62,32.16B,"Red Hat, Inc.",185.41,78.09,-0.34%,181.94,RHT,1.659M,1.359M
-0.06,-0.01,32.228B,Nokia Corporation,7.07,,-0.17%,5.81,NOK,13.419M,26.823M
0.28,-0.28,33.1B,Telefonaktiebolaget LM Ericsson (publ),10.03,,-2.69%,10.11,ERIC,7.919M,6.243M
1.41,-0.87,34.164B,"Xilinx, Inc.",117.56,40.97,-0.64%,134.95,XLNX,3.277M,3.844M
0.79,+0.33,34.609B,"Activision Blizzard, Inc.",52.57,19.28,+0.73%,45.31,ATVI,4.541M,12.422M
0.32,-2.27,34.935B,"NetEase, Inc.",283.56,39.89,-0.85%,266.01,NTES,"463,960","732,325"
1.43,+1.17,37.145B,"Autodesk, Inc.",183.39,,+0.70%,169.20,ADSK,1.635M,1.853M
1.05,-0.81,41.028B,Cognizant Technology Solutions Corporation,82.30,19.82,-1.12%,71.34,CTSH,5.383M,3.359M
1.15,-3.19,41.698B,"Workday, Inc.",199.91,,-1.67%,187.83,WDAY,2.506M,1.823M
1.50,+0.06,41.726B,"Applied Materials, Inc.",47.40,11.19,+0.14%,43.95,AMAT,5.896M,10.508M
1.31,+0.39,42.279B,"Analog Devices, Inc.",114.53,27.73,+0.34%,114.79,ADI,2.053M,2.786M
0.97,+1.17,42.851B,"ServiceNow, Inc.",245.19,,+0.50%,237.40,NOW,2.587M,1.959M
N/A,+0.10,45.16B,Dell Technologies Inc.,66.10,,+0.16%,62.85,DELL,"906,410",2.408M
0.85,-0.02,45.764B,Infosys Limited,10.74,20.53,-0.19%,10.39,INFY,18.224M,8.372M
1.48,+0.25,48.03B,"Micron Technology, Inc.",46.47,3.96,+0.58%,43.40,MU,16.194M,32.209M
1.13,+0.69,59.748B,"Baidu, Inc.",215.66,13.33,+0.41%,171.02,BIDU,1.975M,3.112M
0.95,+0.12,60.27B,Sony Corporation,63.55,10.06,+0.25%,47.86,SNE,1.069M,1.603M
1.04,+1.50,66.781B,Intuit Inc.,252.29,54.20,+0.59%,257.77,INTU,1.371M,1.53M
0.87,-0.98,77.2B,"VMware, Inc.",183.08,32.15,-0.52%,188.09,VMW,1.124M,1.243M
1.32,+2.55,86.059B,ASML Holding N.V.,211.00,29.59,+1.25%,205.91,ASML,"975,462","755,609"
0.92,+0.81,96.692B,QUALCOMM Incorporated,68.48,51.08,+1.02%,79.89,QCOM,37.704M,17.745M
0.49,-0.07,263.127B,Intel Corporation,54.59,13.06,-0.12%,58.49,INTC,20.464M,22.876M
1.20,-0.50,509.098B,"Facebook, Inc.",197.14,23.55,-0.28%,178.28,FB,11.656M,18.421M
1.16,+0.03,860.95B,Alphabet Inc.,"1,352.50",28.29,+0.00%,"1,236.37",GOOG,1.031M,1.372M
1.19,+1.33,861.147B,Alphabet Inc.,"1,354.66",28.41,+0.11%,"1,241.47",GOOGL,1.238M,1.516M
1.01,+1.60,946.521B,Microsoft Corporation,129.25,28.62,+1.31%,123.37,MSFT,27.991M,25.905M
1.55,-0.06,16.43B,STMicroelectronics N.V.,17.73,13.18,-0.32%,18.58,STM,2.852M,3.066M
1.16,-0.20,3.888B,Tech Data Corporation,100.60,11.85,-0.19%,105.36,TECD,"222,899","386,900"
1.10,+0.15,8.321B,"Guidewire Software, Inc.",104.00,199.61,+0.15%,102.20,GWRE,"302,773","884,682"
2.26,0.00,5.845B,Flex Ltd.,13.10,43.12,0.00%,11.21,FLEX,5.442M,6.605M
